球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
みずほPayPay,1.50,24,0,24,4,1,18,0,22,4,4,1,24.0,14,2,28,5,1,4,4,0.79,0.171,-,6.00
エスコンＦ,0.00,6,0,6,0,0,4,0,4,0,0,0,6.0,2,0,6,4,0,0,0,1.0,0.111,-,99.00
ZOZOマリン,0.00,3,0,3,0,0,3,0,3,0,0,0,3.0,2,0,3,1,0,0,0,1.0,0.2,-,99.00
楽天モバイル,0.00,5,0,5,0,0,4,0,4,0,0,0,5.0,2,0,7,0,0,0,0,0.4,0.118,-,99.00
京セラD大阪,1.80,5,0,5,1,0,4,0,5,1,1,0,5.0,2,0,5,3,1,1,1,1.0,0.125,-,5.00
ベルーナドーム,0.00,4,0,4,0,0,3,0,3,0,0,0,4.0,0,0,3,0,0,0,0,0.0,0.0,-,99.00
Pa その他,0.00,1,0,1,0,0,1,0,1,0,0,0,1.1,1,0,0,0,0,0,0,0.75,0.25,-,99.00
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,0.00,2,0,2,0,0,2,0,2,0,0,0,2.0,4,0,3,0,0,0,0,2.0,0.444,-,99.00
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,27.00,1,0,1,0,1,0,0,0,0,0,1,0.1,1,1,1,0,0,1,1,3.0,0.5,-,0.33
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
