球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
みずほPayPay,.269,58,171,156,22,42,2,0,6,62,18,52,10,2,2,2,1,7,2,1,.320,.397,0.717
エスコンＦ,.276,10,34,29,2,8,1,0,1,12,1,9,4,0,0,1,0,2,0,0,.364,.414,0.777
ZOZOマリン,.275,11,40,40,6,11,3,0,2,20,5,11,0,0,0,0,0,2,2,3,.275,.500,0.775
楽天モバイル,.154,10,30,26,3,4,2,0,0,6,4,11,3,0,1,0,0,1,0,1,.267,.231,0.497
京セラD大阪,.250,13,43,40,6,10,2,0,1,15,5,14,2,0,0,1,0,4,0,0,.286,.375,0.661
ベルーナドーム,.378,10,41,37,5,14,3,0,1,20,2,11,3,0,1,0,0,1,0,0,.439,.541,0.98
Pa その他,.200,4,13,10,1,2,0,0,0,2,3,4,1,0,1,0,1,0,0,0,.308,.200,0.508
東京ドーム,.667,1,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.667,.667,1.333
甲子園,.364,3,12,11,1,4,2,0,0,6,0,3,0,0,0,1,0,0,0,0,.364,.545,0.909
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,.286,3,15,14,3,4,1,0,0,5,0,4,1,0,0,0,0,1,0,1,.333,.357,0.69
神宮,.100,3,11,10,1,1,0,0,1,4,2,3,1,0,0,0,0,0,0,0,.182,.400,0.582
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
