球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
みずほPayPay,.270,10,40,37,7,10,1,0,2,17,5,6,3,0,0,0,0,0,0,0,.325,.459,0.784
エスコンＦ,.250,2,9,8,1,2,0,0,1,5,2,3,1,0,0,0,0,0,0,0,.333,.625,0.958
ZOZOマリン,.286,2,7,7,1,2,0,0,1,5,1,1,0,0,0,0,0,0,0,0,.286,.714,1.0
楽天モバイル,.333,3,15,15,2,5,2,0,0,7,1,2,0,0,0,0,0,0,0,0,.333,.467,0.8
京セラD大阪,.000,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.500,.000,0.5
ベルーナドーム,.400,1,5,5,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.400,.400,0.8
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
