球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
神宮,.179,51,135,117,11,21,3,1,1,29,9,34,9,0,0,7,2,1,0,2,.234,.248,0.482
東京ドーム,.200,7,21,20,1,4,1,0,0,5,1,4,0,0,0,1,0,0,0,0,.200,.250,0.45
甲子園,.273,7,24,22,2,6,0,0,0,6,0,4,1,0,0,1,0,1,1,0,.304,.273,0.577
横浜,.185,11,31,27,3,5,2,0,0,7,2,6,3,0,0,1,0,1,0,0,.267,.259,0.526
マツダスタジアム,.235,10,20,17,1,4,2,0,0,6,1,4,2,0,0,1,0,1,0,0,.316,.353,0.669
バンテリンドーム,.342,11,42,38,4,13,3,0,1,19,6,7,3,0,0,1,0,1,2,1,.390,.500,0.89
Ce その他,.000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,.000,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,.167,1,6,6,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.167,.167,0.333
ベルーナドーム,.000,3,8,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.000,.000,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
