球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,211,48.5%,148.9,13,47,43,71,48.8%,14.0%,.298,47,14,0,11,11,1
フォーク,61,14.0%,136.0,13,4,12,19,47.5%,34.2%,.211,19,4,0,6,0,0
スライダー,41,9.4%,129.3,4,14,3,15,51.2%,33.3%,.167,6,1,0,1,0,0
カットボール,25,5.7%,136.9,3,3,5,11,44.0%,27.3%,.500,4,2,0,1,0,0
カーブ,21,4.8%,120.3,1,8,2,10,52.4%,33.3%,-,0,0,0,0,0,0
スプリット,19,4.4%,139.9,2,4,1,10,36.8%,40.0%,.000,2,0,0,0,2,0
ツーシーム,18,4.1%,140.5,3,1,4,6,44.4%,27.3%,.250,4,1,0,1,0,0
チェンジアップ,16,3.7%,130.9,3,2,1,8,37.5%,50.0%,.000,2,0,0,0,0,0
ナックルカーブ,15,3.4%,125.7,1,1,2,7,26.7%,14.3%,.250,4,1,0,0,0,0
縦スライダー,4,0.9%,130.7,0,1,1,1,50.0%,0.0%,.000,1,0,0,0,0,0
シンカー,2,0.5%,135.5,0,1,1,0,100.0%,0.0%,-,0,0,0,0,0,0
シュート,2,0.5%,143.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
