条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.436,46,39,17,0,1,0,0,1,2,4,0,0.476
1-0より,.111,19,18,2,0,0,0,0,0,0,1,0,0.111
2-0より,.500,6,6,3,0,0,0,0,0,0,0,0,0.5
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.344,33,32,11,0,1,1,0,0,1,0,0,0.364
1-1より,.258,32,31,8,1,1,0,0,0,1,0,0,0.281
2-1より,.316,20,19,6,2,0,1,0,0,0,1,0,0.316
3-1より,.000,14,5,0,0,0,0,0,9,0,0,0,0.643
0-2より,.103,30,29,3,1,0,0,11,0,0,0,1,0.1
1-2より,.128,48,47,6,2,0,0,19,0,0,0,1,0.125
2-2より,.152,47,46,7,1,0,2,20,0,0,0,1,0.149
3-2より,.250,44,28,7,1,1,0,11,16,0,0,0,0.523
