条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.358,57,53,19,4,0,0,0,3,0,0,1,0.386
1-0より,0.238,43,42,10,1,0,1,0,1,0,0,0,0.256
2-0より,0.235,18,17,4,0,0,1,0,1,0,0,0,0.278
3-0より,0.0,8,1,0,0,0,0,0,7,0,0,0,0.875
0-1より,0.315,55,54,17,4,0,1,0,0,0,0,1,0.309
1-1より,0.3,61,60,18,1,0,6,0,0,0,0,1,0.295
2-1より,0.256,44,43,11,2,0,1,0,0,1,0,0,0.273
3-1より,0.667,16,9,6,1,0,1,0,7,0,0,0,0.813
0-2より,0.226,31,31,7,1,0,0,8,0,0,0,0,0.226
1-2より,0.165,80,79,13,3,0,0,27,0,0,0,1,0.163
2-2より,0.143,84,84,12,3,0,1,25,0,0,0,0,0.143
3-2より,0.327,77,55,18,2,0,2,16,21,0,0,1,0.506
