条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.299,72,67,20,6,0,1,0,0,0,4,1,0.294
1-0より,.357,31,28,10,2,0,2,0,0,0,2,1,0.345
2-0より,.333,9,9,3,0,0,1,0,0,0,0,0,0.333
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.279,63,61,17,2,0,4,0,0,1,1,0,0.29
1-1より,.250,49,48,12,2,0,0,0,0,0,1,0,0.25
2-1より,.286,28,28,8,0,1,1,0,0,0,0,0,0.286
3-1より,.500,19,6,3,0,0,1,0,12,0,1,0,0.833
0-2より,.180,50,50,9,1,0,0,18,0,0,0,0,0.18
1-2より,.247,98,97,24,2,0,0,29,0,1,0,0,0.255
2-2より,.205,73,73,15,2,0,1,24,0,0,0,0,0.205
3-2より,.282,52,39,11,2,0,3,14,13,0,0,0,0.462
