条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.286,31,28,8,2,0,2,0,2,0,1,0,0.333
1-0より,.357,28,28,10,3,0,0,0,0,0,0,0,0.357
2-0より,.000,2,2,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,5,0,0,0,0,0,0,5,0,0,0,1.0
0-1より,.359,40,39,14,2,0,1,0,0,1,0,0,0.375
1-1より,.333,30,30,10,4,1,1,0,0,0,0,0,0.333
2-1より,.462,13,13,6,0,0,3,0,0,0,0,0,0.462
3-1より,.000,10,4,0,0,0,0,0,6,0,0,0,0.6
0-2より,.235,34,34,8,1,0,1,12,0,0,0,0,0.235
1-2より,.185,54,54,10,1,0,2,21,0,0,0,0,0.185
2-2より,.273,44,44,12,1,0,1,17,0,0,0,0,0.273
3-2より,.282,48,39,11,2,0,1,15,8,0,1,0,0.404
