球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
神宮,4.55,11,11,0,1,5,0,0,0,0,0,0,59.1,65,7,59,28,2,32,30,1.57,0.289,1.86,-
東京ドーム,2.57,1,1,0,0,0,0,0,0,0,0,0,7.0,3,2,11,3,0,2,2,0.86,0.13,2.25,-
甲子園,5.40,1,1,0,1,0,0,0,0,0,0,0,5.0,6,0,5,5,0,3,3,2.2,0.333,9.00,-
横浜,4.09,2,2,0,1,1,0,0,0,0,0,0,11.0,14,0,5,1,1,5,5,1.36,0.318,2.77,-
マツダスタジアム,4.50,1,1,0,0,1,0,0,0,0,0,0,6.0,6,1,2,2,0,3,3,1.33,0.261,2.57,-
バンテリンドーム,4.09,2,2,0,0,2,0,0,0,0,0,0,11.0,10,1,10,4,0,5,5,1.27,0.263,0.00,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,3.00,1,1,0,0,1,0,0,0,0,0,0,6.0,7,0,4,3,0,2,2,1.67,0.28,0.00,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,11.25,1,1,0,0,1,0,0,0,0,0,0,4.0,8,0,4,4,0,5,5,3.0,0.444,3.60,-
ベルーナドーム,0.00,1,1,0,0,0,0,0,0,0,0,0,7.0,4,0,4,2,0,0,0,0.86,0.167,0.00,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
