条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.375,38,32,12,2,0,0,0,1,2,2,1,0.417
1-0より,.167,12,12,2,0,0,0,0,0,0,0,0,0.167
2-0より,.250,4,4,1,1,0,0,0,0,0,0,0,0.25
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.0
0-1より,.286,14,14,4,2,0,0,0,0,0,0,0,0.286
1-1より,.143,15,14,2,0,0,0,0,0,0,1,0,0.143
2-1より,.250,8,8,2,0,0,0,0,0,0,0,0,0.25
3-1より,.200,11,5,1,1,0,0,0,6,0,0,0,0.636
0-2より,.182,22,22,4,1,0,0,10,0,0,0,0,0.182
1-2より,.261,23,23,6,2,0,0,10,0,0,0,0,0.261
2-2より,.136,22,22,3,0,0,0,7,0,0,0,0,0.136
3-2より,.235,23,17,4,1,0,0,8,6,0,0,0,0.435
