球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
神宮,.170,35,58,53,2,9,1,0,0,10,1,11,3,0,0,2,0,0,0,0,.214,.189,0.403
東京ドーム,.429,4,7,7,1,3,0,1,0,5,0,1,0,0,0,0,0,0,0,0,.429,.714,1.143
甲子園,.300,6,10,10,2,3,1,1,0,6,3,0,0,0,0,0,0,0,0,0,.300,.600,0.9
横浜,.300,7,13,10,0,3,1,0,0,4,1,0,3,0,0,0,0,0,0,1,.462,.400,0.862
マツダスタジアム,.333,10,12,9,2,3,0,0,1,6,3,3,1,0,2,0,0,0,0,0,.500,.667,1.167
バンテリンドーム,.273,5,13,11,2,3,1,0,0,4,0,2,2,0,0,0,0,0,0,0,.385,.364,0.748
Ce その他,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,.200,2,7,5,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,.429,.200,0.629
ZOZOマリン,.250,1,4,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.250,.250,0.5
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,.333,3,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.333,.333,0.667
ベルーナドーム,.000,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,.000,0.25
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
