球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,745,47.3%,146.6,19,185,184,217,52.1%,5.5%,.276,145,40,0,15,13,3
スライダー,240,15.2%,128.4,20,59,47,78,52.5%,19.4%,.192,52,10,0,16,1,1
カットボール,160,10.2%,136.0,8,40,29,47,48.1%,11.0%,.282,39,11,0,4,3,0
フォーク,104,6.6%,135.9,11,7,23,38,39.4%,18.6%,.276,29,8,0,5,2,0
ツーシーム,92,5.8%,140.0,5,16,21,22,45.7%,9.3%,.296,27,8,0,0,2,0
チェンジアップ,69,4.4%,132.6,4,6,8,25,26.1%,10.5%,.296,27,8,0,2,0,0
カーブ,68,4.3%,117.1,1,21,8,33,44.1%,7.1%,.400,5,2,0,0,1,0
スプリット,30,1.9%,138.1,3,2,5,7,33.3%,14.3%,.133,15,2,0,2,0,0
ナックルカーブ,18,1.1%,123.0,1,5,0,7,33.3%,16.7%,.167,6,1,0,1,0,0
シュート,18,1.1%,141.3,1,5,5,5,61.1%,12.5%,.333,3,1,0,1,0,2
シンカー,16,1.0%,133.3,0,4,4,1,50.0%,0.0%,.429,7,3,0,0,0,0
パワーカーブ,8,0.5%,123.6,0,3,2,2,62.5%,0.0%,1.000,1,1,0,0,0,0
スラーブ,4,0.3%,122.0,0,0,0,4,0.0%,-%,-,0,0,0,0,0,0
縦スライダー,2,0.1%,127.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
パーム,1,0.1%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
