球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
神宮,.219,45,104,96,9,21,4,1,2,33,9,31,4,2,0,3,1,2,0,0,.248,.344,0.591
東京ドーム,.000,5,6,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.167,.000,0.167
甲子園,.200,5,11,10,0,2,0,0,0,2,0,3,0,0,0,1,0,0,1,0,.200,.200,0.4
横浜,.118,6,17,17,1,2,0,0,0,2,0,5,0,0,0,0,0,0,0,0,.118,.118,0.235
マツダスタジアム,.286,11,24,21,2,6,0,0,0,6,1,6,2,0,0,1,0,1,0,0,.348,.286,0.634
バンテリンドーム,.231,4,15,13,1,3,1,0,0,4,1,3,2,0,0,0,0,0,0,0,.333,.308,0.641
Ce その他,.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,.000,3,8,7,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,.000,.000,0.0
ZOZOマリン,.333,3,12,9,2,3,1,1,0,6,5,2,3,0,0,0,0,0,0,1,.500,.667,1.167
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,-,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ベルーナドーム,.250,2,5,4,1,1,0,0,1,4,1,1,0,0,0,1,0,0,0,1,.250,1.000,1.25
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
