球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,336,44.9%,146.9,31,74,78,102,54.5%,19.4%,.200,70,14,1,24,6,0
スライダー,126,16.8%,129.0,25,22,14,40,48.4%,39.1%,.143,35,5,1,10,2,0
カットボール,76,10.1%,136.0,9,10,16,20,46.1%,19.6%,.200,20,4,0,2,1,0
チェンジアップ,56,7.5%,128.0,11,6,11,15,50.0%,31.4%,.222,18,4,0,5,0,0
ツーシーム,53,7.1%,138.3,3,9,10,21,41.5%,13.0%,.400,10,4,0,0,1,0
フォーク,33,4.4%,136.3,9,1,6,11,48.5%,42.9%,.333,12,4,1,6,0,0
カーブ,25,3.3%,118.3,4,5,1,11,40.0%,44.4%,.143,7,1,0,3,0,0
ナックルカーブ,12,1.6%,127.5,4,2,1,4,58.3%,66.7%,.000,3,0,0,2,0,0
スプリット,7,0.9%,134.3,3,0,1,1,57.1%,50.0%,.000,4,0,0,2,0,0
縦スライダー,6,0.8%,131.6,2,0,2,1,66.7%,40.0%,.500,2,1,0,1,0,0
シュート,6,0.8%,142.4,0,0,3,2,50.0%,0.0%,1.000,1,1,0,0,0,0
パワーカーブ,5,0.7%,127.8,2,0,1,1,60.0%,50.0%,.000,1,0,0,0,0,0
パーム,5,0.7%,114.4,1,1,2,1,80.0%,33.3%,.000,1,0,0,1,0,0
シンカー,3,0.4%,140.0,0,0,1,2,33.3%,0.0%,-,0,0,0,0,0,0
