球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ZOZOマリン,4.50,7,0,7,0,0,0,0,0,0,0,0,8.0,8,2,6,3,0,4,4,1.38,0.258,-,2.00
みずほPayPay,3.00,2,0,2,0,0,0,0,0,0,0,0,3.0,2,0,3,1,0,1,1,1.0,0.182,-,3.00
エスコンＦ,7.71,3,0,3,0,0,0,0,0,0,0,0,4.2,5,2,2,4,0,4,4,1.93,0.263,-,1.17
楽天モバイル,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,1,1,0,0,0,2.0,0.25,-,99.00
京セラD大阪,11.25,5,0,5,0,1,0,0,0,0,0,1,4.0,6,2,3,1,0,5,5,1.75,0.333,-,0.80
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,2,0,0,0,0,1.0,0.2,-,99.00
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,0.00,2,0,2,0,0,0,0,0,0,0,0,2.0,1,0,2,3,0,0,0,2.0,0.167,-,99.00
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
