球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,342,39.1%,148.0,22,71,71,109,48.0%,13.6%,.217,83,18,1,16,9,2
フォーク,105,12.0%,137.0,20,9,17,45,43.8%,39.2%,.125,24,3,0,10,2,0
スライダー,98,11.2%,129.9,13,19,18,26,51.0%,24.5%,.292,24,7,2,3,2,1
チェンジアップ,80,9.1%,133.9,16,9,10,34,43.8%,43.2%,.143,14,2,0,4,0,0
カットボール,73,8.3%,139.0,7,16,11,28,46.6%,24.1%,.385,13,5,0,2,0,0
カーブ,54,6.2%,118.1,2,6,4,30,22.2%,11.1%,.000,13,0,0,1,1,1
ツーシーム,41,4.7%,144.9,4,8,10,11,53.7%,18.2%,.444,9,4,1,1,0,0
スプリット,40,4.6%,139.8,6,5,3,21,35.0%,42.9%,.125,8,1,0,3,2,0
縦スライダー,16,1.8%,131.0,1,2,2,7,31.3%,14.3%,.200,5,1,0,1,0,0
シンカー,10,1.1%,128.9,0,3,2,4,50.0%,0.0%,.000,1,0,0,0,1,0
ナックルカーブ,8,0.9%,123.1,0,3,1,2,50.0%,0.0%,.000,2,0,0,0,0,0
シュート,6,0.7%,139.0,2,0,2,1,66.7%,40.0%,.000,1,0,0,0,0,0
パワーカーブ,1,0.1%,125.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
高速スライダー,1,0.1%,138.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
