条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.250,14,12,3,0,0,1,0,1,1,0,0,.357
1-0より,.833,7,6,5,0,0,2,0,0,0,1,0,.833
2-0より,.333,3,3,1,0,0,0,0,0,0,0,0,.333
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,.417,12,12,5,1,0,0,0,0,0,0,0,.417
1-1より,.400,10,10,4,0,0,0,0,0,0,0,0,.400
2-1より,.600,5,5,3,0,1,0,0,0,0,0,0,.600
3-1より,.000,4,1,0,0,0,0,0,3,0,0,0,.750
0-2より,.308,13,13,4,1,0,0,2,0,0,0,0,.308
1-2より,.158,20,19,3,0,0,0,9,0,1,0,0,.200
2-2より,.176,18,17,3,0,0,0,10,0,1,0,0,.222
3-2より,.125,11,8,1,0,0,0,4,3,0,0,0,.364
