球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ZOZOマリン,3.54,24,0,24,2,1,6,0,8,2,2,1,20.1,23,1,16,9,1,10,8,1.57,0.284,-,2.03
みずほPayPay,4.50,2,0,2,0,1,0,0,0,0,0,1,2.0,3,0,3,0,0,2,1,1.5,0.375,-,1.00
エスコンＦ,4.50,4,0,4,0,0,1,0,1,0,0,0,4.0,6,0,4,1,1,2,2,1.75,0.316,-,2.00
楽天モバイル,1.69,6,0,6,0,0,2,0,2,0,0,0,5.1,3,0,6,1,0,1,1,0.75,0.167,-,5.33
京セラD大阪,0.00,3,0,3,0,0,1,0,1,0,0,0,3.0,2,0,4,1,0,0,0,1.0,0.182,-,99.00
ベルーナドーム,0.00,3,0,3,0,0,0,0,0,0,0,0,3.0,1,0,2,1,0,0,0,0.67,0.1,-,99.00
Pa その他,0.00,3,0,3,0,0,0,0,0,0,0,0,3.0,1,0,4,0,0,0,0,0.33,0.1,-,99.00
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,0.00,1,0,1,0,0,0,0,0,0,0,0,0.1,1,0,1,0,0,0,0,3.0,0.5,-,99.00
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,0.00,1,0,1,0,0,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,0.0,0.0,-,99.00
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
