条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.235,21,17,4,0,0,0,0,0,1,3,0,0.278
1-0より,.455,11,11,5,1,0,0,0,0,0,0,0,0.455
2-0より,.000,1,1,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.0
0-1より,.333,9,6,2,1,0,0,0,0,2,1,0,0.5
1-1より,.400,5,5,2,0,0,0,0,0,0,0,0,0.4
2-1より,.333,3,3,1,0,0,0,0,0,0,0,0,0.333
3-1より,-,2,0,0,0,0,0,0,1,1,0,0,1.0
0-2より,.250,13,12,3,1,0,0,8,0,0,1,0,0.25
1-2より,.042,24,24,1,0,0,0,8,0,0,0,0,0.042
2-2より,.000,13,13,0,0,0,0,12,0,0,0,0,0.0
3-2より,.167,7,6,1,0,0,0,3,1,0,0,0,0.286
