条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.571,15,14,8,2,0,0,0,0,0,1,0,0.571
1-0より,.429,8,7,3,1,0,0,0,0,0,1,0,0.429
2-0より,.000,1,1,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.462,15,13,6,1,1,1,0,0,0,0,2,0.4
1-1より,.625,10,8,5,0,0,0,0,0,1,0,1,0.6
2-1より,.200,5,5,1,0,0,0,0,0,0,0,0,0.2
3-1より,.500,7,2,1,0,0,0,0,5,0,0,0,0.857
0-2より,.000,5,5,0,0,0,0,3,0,0,0,0,0.0
1-2より,.095,22,21,2,0,0,0,10,0,1,0,0,0.136
2-2より,.188,17,16,3,0,0,0,6,0,0,0,1,0.176
3-2より,.214,15,14,3,0,0,0,8,1,0,0,0,0.267
