条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.182,20,11,2,0,0,0,0,1,0,7,1,0.231
1-0より,.143,20,14,2,1,0,0,0,0,0,6,0,0.143
2-0より,.250,7,4,1,0,0,0,0,0,1,2,0,0.4
3-0より,-,3,0,0,0,0,0,0,3,0,0,0,1.0
0-1より,.212,37,33,7,1,0,0,0,0,0,3,1,0.206
1-1より,.308,42,39,12,4,0,0,0,0,0,3,0,0.308
2-1より,.167,25,24,4,1,0,0,0,0,1,0,0,0.2
3-1より,.375,13,8,3,0,0,1,0,4,1,0,0,0.615
0-2より,.241,29,29,7,0,0,0,14,0,0,0,0,0.241
1-2より,.224,49,49,11,2,0,0,20,0,0,0,0,0.224
2-2より,.222,45,45,10,1,1,0,5,0,0,0,0,0.222
3-2より,.227,29,22,5,1,1,0,6,7,0,0,0,0.414
