球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ZOZOマリン,.217,59,171,152,12,33,5,2,1,45,11,25,6,0,2,9,2,1,3,3,.253,.296,0.549
みずほPayPay,.143,8,19,14,2,2,0,0,0,2,0,1,3,0,0,2,0,1,0,1,.294,.143,0.437
エスコンＦ,.227,11,24,22,4,5,2,0,0,7,0,6,0,0,0,2,0,1,1,0,.227,.318,0.545
楽天モバイル,.333,10,25,21,1,7,1,0,0,8,1,2,2,0,0,2,0,0,1,0,.391,.381,0.772
京セラD大阪,.235,7,18,17,1,4,1,0,0,5,0,5,0,0,0,1,0,1,0,1,.235,.294,0.529
ベルーナドーム,.125,5,10,8,1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,.125,.125,0.25
Pa その他,.214,6,15,14,1,3,0,0,0,3,1,3,0,0,0,1,0,2,0,2,.214,.214,0.429
東京ドーム,.500,2,7,6,3,3,1,0,0,4,0,1,0,0,0,1,0,0,0,0,.500,.667,1.167
甲子園,.250,3,10,8,0,2,0,0,0,2,0,0,1,1,0,1,0,0,1,0,.333,.250,0.583
横浜,.300,3,12,10,2,3,1,0,0,4,1,0,1,0,1,0,0,0,1,1,.417,.400,0.817
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,.167,2,8,6,1,1,0,0,0,1,1,1,2,0,0,0,0,1,0,0,.375,.167,0.542
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
