球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,172,41.8%,148.3,27,30,30,62,50.6%,33.8%,0.222,36,8,3,13,0,0
スライダー,57,13.9%,131.8,12,5,6,20,40.4%,37.5%,0.333,18,6,1,4,3,0
チェンジアップ,39,9.5%,126.5,11,2,7,13,51.3%,45.8%,0.167,12,2,1,6,1,0
フォーク,38,9.2%,136.8,15,2,4,14,55.3%,68.2%,0.091,11,1,1,8,0,0
カットボール,37,9.0%,138.8,6,7,8,5,56.8%,24.0%,0.231,13,3,1,2,1,0
カーブ,26,6.3%,120.2,6,11,3,6,76.9%,66.7%,0.0,1,0,0,1,0,0
ツーシーム,23,5.6%,141.0,1,5,1,6,30.4%,8.3%,0.5,10,5,0,1,0,0
縦スライダー,10,2.4%,132.9,2,3,0,4,50.0%,66.7%,0.5,2,1,0,1,0,0
スプリット,4,1.0%,144.0,1,0,0,3,25.0%,100.0%,0.0,1,0,0,1,0,0
シュート,3,0.7%,142.7,0,2,0,0,66.7%,0.0%,1.0,1,1,0,0,0,0
ナックルカーブ,2,0.5%,119.0,0,0,0,1,0.0%,0.0%,0.0,1,0,0,0,0,0
