条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.229,38,35,8,2,0,0,0,1,2,0,0,0.289
1-0より,.583,13,12,7,2,0,0,0,0,0,0,1,0.538
2-0より,.500,4,4,2,1,0,0,0,0,0,0,0,0.5
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.229,35,35,8,2,0,0,0,0,0,0,0,0.229
1-1より,.356,46,45,16,4,0,0,0,0,0,0,1,0.348
2-1より,.350,21,20,7,0,0,0,0,0,1,0,0,0.381
3-1より,.200,14,5,1,0,0,0,0,8,0,0,1,0.643
0-2より,.087,23,23,2,1,0,0,10,0,0,0,0,0.087
1-2より,.100,60,60,6,1,0,0,24,0,0,0,0,0.1
2-2より,.319,49,47,15,2,0,0,19,0,1,0,1,0.327
3-2より,.161,45,31,5,0,0,0,12,14,0,0,0,0.422
