球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,613,45.4%,147.3,30,153,100,212,46.2%,12.1%,0.299,137,41,0,20,10,3
スライダー,130,9.6%,128.8,19,27,12,52,44.6%,37.3%,0.156,32,5,0,12,2,1
フォーク,115,8.5%,138.0,19,17,18,39,47.0%,32.2%,0.097,31,3,0,9,4,0
チェンジアップ,103,7.6%,132.5,14,19,11,36,42.7%,29.2%,0.139,36,5,0,13,2,0
カットボール,102,7.6%,137.9,8,22,15,35,44.1%,17.8%,0.208,24,5,0,2,1,0
カーブ,89,6.6%,115.3,8,31,6,31,50.6%,29.6%,0.294,17,5,0,5,0,0
ツーシーム,89,6.6%,144.2,6,24,9,37,43.8%,21.4%,0.333,12,4,0,0,2,0
スプリット,38,2.8%,138.5,2,10,5,13,44.7%,13.3%,0.222,9,2,0,1,1,0
シンカー,21,1.6%,132.4,2,4,1,7,33.3%,20.0%,0.429,7,3,0,0,1,0
シュート,20,1.5%,141.1,2,5,3,6,50.0%,22.2%,0.5,4,2,0,0,0,0
ナックルカーブ,14,1.0%,126.3,1,3,2,5,42.9%,16.7%,0.333,3,1,0,1,0,0
縦スライダー,11,0.8%,130.7,2,3,0,5,45.5%,66.7%,0.0,3,0,0,2,0,0
パワーカーブ,3,0.2%,124.7,0,0,1,1,33.3%,0.0%,0.0,1,0,0,0,0,0
パーム,1,0.1%,-,0,0,0,0,0.0%,0.0%,1.0,1,1,0,0,0,0
