条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.276,61,58,16,4,0,3,0,0,2,1,0,0.3
1-0より,0.3,21,20,6,0,0,2,0,0,1,0,0,0.333
2-0より,0.714,7,7,5,1,0,1,0,0,0,0,0,0.714
3-0より,1.0,3,1,1,0,0,1,0,2,0,0,0,1.0
0-1より,0.326,44,43,14,5,0,1,0,0,1,0,0,0.341
1-1より,0.382,36,34,13,4,0,1,0,0,1,0,1,0.389
2-1より,0.231,13,13,3,1,0,0,0,0,0,0,0,0.231
3-1より,0.2,8,5,1,0,0,0,0,3,0,0,0,0.5
0-2より,0.022,46,46,1,0,0,0,30,0,0,0,0,0.022
1-2より,0.13,69,69,9,3,0,1,40,0,0,0,0,0.13
2-2より,0.109,55,55,6,0,0,1,29,0,0,0,0,0.109
3-2より,0.118,54,34,4,0,0,0,13,19,1,0,0,0.444
