守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.272,21,84,81,12,22,5,0,5,42,12,18,2,0,1,0,0,1,0,0,.298,.519,0.816
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,.188,75,305,277,25,52,13,0,5,80,19,84,21,0,5,1,1,1,0,1,.257,.289,0.545
指名打者,.143,5,22,21,2,3,0,0,0,3,1,9,1,0,0,0,0,0,0,0,.182,.143,0.325
途中出場,.333,6,6,6,1,2,0,0,1,5,1,1,0,0,0,0,0,0,0,0,.333,.833,1.167
