球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,635,44.4%,147.6,44,115,112,236,42.7%,15.5%,.338,148,50,2,24,23,0
スライダー,169,11.8%,130.8,12,30,27,78,40.8%,19.7%,.185,27,5,0,5,6,0
カットボール,124,8.7%,136.9,10,25,20,47,44.4%,19.2%,.200,25,5,0,5,3,0
フォーク,119,8.3%,137.3,15,18,9,61,35.3%,37.5%,.200,25,5,1,9,4,1
ツーシーム,116,8.1%,144.7,8,19,18,43,38.8%,14.8%,.250,28,7,0,3,2,0
チェンジアップ,110,7.7%,131.1,14,17,14,44,40.9%,28.6%,.125,32,4,0,11,1,0
カーブ,52,3.6%,116.6,2,11,3,25,30.8%,12.5%,.308,13,4,0,2,0,0
スプリット,43,3.0%,139.1,8,6,5,19,44.2%,44.4%,.111,9,1,0,4,1,0
縦スライダー,18,1.3%,131.6,2,5,2,7,50.0%,33.3%,.000,3,0,0,1,0,0
シンカー,18,1.3%,129.0,0,3,3,8,33.3%,0.0%,.333,3,1,1,0,0,0
ナックルカーブ,12,0.8%,130.2,4,0,0,8,33.3%,100.0%,.000,3,0,0,3,1,0
シュート,12,0.8%,138.6,0,1,3,4,33.3%,0.0%,.000,4,0,0,0,0,0
スローカーブ,1,0.1%,92.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
