球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ZOZOマリン,4.91,11,0,11,0,1,2,1,2,1,0,1,11.0,11,2,9,6,0,6,6,1.55,0.262,-,1.83
みずほPayPay,0.00,2,0,2,1,0,1,0,2,1,1,0,2.0,0,0,5,1,0,0,0,0.5,0.0,-,99.00
エスコンＦ,4.50,3,0,3,0,1,2,0,2,0,0,1,2.0,2,1,0,0,0,1,1,1.0,0.25,-,2.00
楽天モバイル,13.50,1,0,1,0,1,0,0,0,0,0,1,0.2,1,0,1,1,0,1,1,3.0,0.5,-,0.67
京セラD大阪,9.00,1,0,1,0,0,0,0,0,0,0,0,1.0,2,0,0,0,0,1,1,2.0,0.4,-,1.00
ベルーナドーム,0.00,2,0,2,0,0,0,0,0,0,0,0,2.0,1,0,0,0,1,0,0,0.5,0.167,-,99.00
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,45.00,1,0,1,0,0,0,0,0,0,0,0,1.0,5,1,0,0,0,5,5,5.0,0.714,-,0.20
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
