球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
バンテリンドーム,5.11,27,0,27,2,3,8,0,10,2,2,3,24.2,28,2,23,7,1,15,14,1.42,0.286,-,1.64
東京ドーム,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,2,0,0,0,0,1.0,0.25,-,99.00
甲子園,0.00,2,0,2,0,0,1,0,1,0,0,0,2.0,2,0,2,2,0,0,0,2.0,0.286,-,99.00
横浜,0.00,3,0,3,0,0,0,0,0,0,0,0,3.0,0,0,2,1,0,0,0,0.33,0.0,-,99.00
マツダスタジアム,0.00,3,0,3,0,0,0,0,0,0,0,0,4.0,3,0,5,2,0,0,0,1.25,0.214,-,99.00
神宮,4.50,2,0,2,0,0,1,0,1,0,0,0,2.0,3,1,2,0,0,1,1,1.5,0.375,-,2.00
Ce その他,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1.0,0.25,-,99.00
みずほPayPay,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0.0,0.0,-,99.00
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ベルーナドーム,0.00,1,0,1,0,0,1,0,1,0,0,0,0.2,0,0,2,0,0,0,0,0.0,0.0,-,99.00
Pa その他,0.00,1,0,1,0,0,1,0,1,0,0,0,0.2,0,0,1,0,0,0,0,0.0,0.0,-,99.00
