条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.232,81,69,16,5,0,1,0,2,1,8,1,0.26
1-0より,.395,46,43,17,2,0,2,0,0,0,3,0,0.395
2-0より,.133,15,15,2,1,0,0,0,0,0,0,0,0.133
3-0より,-,11,0,0,0,0,0,0,11,0,0,0,1.0
0-1より,.333,48,48,16,2,0,0,0,0,0,0,0,0.333
1-1より,.273,68,66,18,0,0,3,0,0,1,1,0,0.284
2-1より,.250,37,36,9,2,0,0,0,0,0,1,0,0.25
3-1より,.333,25,15,5,2,0,1,0,9,0,1,0,0.583
0-2より,.174,47,46,8,2,0,0,26,0,1,0,0,0.191
1-2より,.218,102,101,22,3,0,2,45,0,1,0,0,0.225
2-2より,.190,106,105,20,3,1,1,40,0,1,0,0,0.198
3-2より,.160,104,75,12,4,0,1,27,28,0,1,0,0.388
