球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,1000,42.6%,146.4,13,231,212,317,45.6%,2.9%,.325,237,77,3,16,23,0
スライダー,367,15.6%,128.6,20,96,49,131,45.0%,14.3%,.314,86,27,1,15,2,0
カットボール,249,10.6%,137.3,15,63,44,78,49.0%,13.9%,.291,55,16,0,6,6,0
フォーク,179,7.6%,136.0,15,25,27,60,37.4%,16.0%,.136,59,8,0,7,2,0
チェンジアップ,160,6.8%,131.3,11,24,21,65,35.0%,15.5%,.310,42,13,1,4,5,0
カーブ,132,5.6%,116.2,2,34,12,60,36.4%,5.3%,.280,25,7,0,1,1,1
ツーシーム,99,4.2%,141.7,6,20,12,33,38.4%,13.0%,.281,32,9,0,4,1,0
スプリット,49,2.1%,139.5,5,8,8,18,42.9%,21.7%,.308,13,4,0,3,0,0
シンカー,38,1.6%,130.1,2,7,5,15,36.8%,12.5%,.333,9,3,0,0,0,0
シュート,35,1.5%,143.3,3,10,7,5,57.1%,15.0%,.100,10,1,0,0,1,0
ナックルカーブ,23,1.0%,124.8,2,4,2,10,34.8%,22.2%,.333,6,2,0,1,0,0
縦スライダー,9,0.4%,133.0,1,2,0,4,33.3%,33.3%,.000,2,0,0,0,0,0
スローカーブ,2,0.1%,100.0,0,2,0,0,100.0%,-%,-,0,0,0,0,0,0
高速スライダー,2,0.1%,138.5,1,0,0,0,50.0%,50.0%,.000,1,0,0,0,0,0
パワーカーブ,1,0.0%,123.0,0,0,0,0,0.0%,0.0%,1.000,1,1,0,0,0,0
ナックル,1,0.0%,129.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
