条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.271,77,70,19,6,1,1,0,1,0,6,0,0.282
1-0より,.283,55,53,15,2,0,4,0,0,1,1,0,0.296
2-0より,.167,13,12,2,0,1,0,0,0,0,1,0,0.167
3-0より,-,7,0,0,0,0,0,0,7,0,0,0,1.0
0-1より,.367,61,60,22,4,0,1,0,0,1,0,0,0.377
1-1より,.235,71,68,16,7,0,0,0,0,2,0,1,0.254
2-1より,.348,24,23,8,2,0,2,0,0,0,1,0,0.348
3-1より,.500,23,8,4,3,0,0,0,15,0,0,0,0.826
0-2より,.063,32,32,2,1,0,0,11,0,0,0,0,0.063
1-2より,.236,91,89,21,3,0,0,18,0,2,0,0,0.253
2-2より,.207,83,82,17,6,0,1,19,0,1,0,0,0.217
3-2より,.227,58,44,10,3,0,0,13,14,0,0,0,0.414
