球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,75,46.9%,149.5,10,15,16,27,54.7%,30.3%,.083,12,1,0,6,4,0
スライダー,15,9.4%,126.5,1,3,3,6,46.7%,16.7%,.000,3,0,0,1,0,0
フォーク,14,8.8%,136.0,6,2,1,4,64.3%,75.0%,.000,4,0,0,3,0,0
ツーシーム,12,7.5%,142.0,5,0,3,2,66.7%,50.0%,.250,4,1,0,2,0,0
カーブ,10,6.3%,122.6,2,2,1,3,50.0%,40.0%,.500,2,1,0,0,0,0
カットボール,10,6.3%,136.8,0,3,1,4,40.0%,0.0%,.500,2,1,0,0,0,0
スプリット,7,4.4%,139.8,2,0,1,2,42.9%,40.0%,.000,2,0,0,0,0,0
チェンジアップ,7,4.4%,133.8,2,3,0,1,71.4%,66.7%,.000,2,0,0,1,0,0
シンカー,5,3.1%,129.0,0,0,2,1,40.0%,0.0%,.000,2,0,0,0,0,0
シュート,3,1.9%,144.0,0,1,0,2,33.3%,-%,-,0,0,0,0,0,0
ナックルカーブ,2,1.3%,129.0,0,0,1,0,50.0%,0.0%,.000,1,0,0,0,0,0
