球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
バンテリンドーム,.292,40,74,65,8,19,6,2,0,29,9,19,6,0,2,1,0,0,1,0,.370,.446,0.816
東京ドーム,.083,5,12,12,0,1,1,0,0,2,0,5,0,0,0,0,0,0,0,0,.083,.167,0.25
甲子園,.200,5,12,10,1,2,0,0,0,2,0,2,1,0,0,1,0,0,0,0,.273,.200,0.473
横浜,.500,7,6,6,2,3,1,0,1,7,6,1,0,0,0,0,0,0,0,0,.500,1.167,1.667
マツダスタジアム,.250,7,10,8,1,2,1,0,1,6,3,3,2,0,0,0,0,0,0,0,.400,.750,1.15
神宮,.313,10,18,16,2,5,0,0,1,8,2,5,2,0,0,0,0,0,0,0,.389,.500,0.889
Ce その他,.000,2,6,5,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,.167,.000,0.167
みずほPayPay,.143,2,8,7,1,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,.250,.286,0.536
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
京セラD大阪,.500,2,5,4,1,2,0,0,0,2,0,1,1,0,0,0,0,0,1,0,.600,.500,1.1
ベルーナドーム,.200,2,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.200,0.4
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
