球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
バンテリンドーム,0.96,8,0,8,0,1,1,0,1,0,0,1,9.1,5,0,10,7,0,1,1,1.29,0.167,-,9.33
東京ドーム,4.50,2,0,2,0,0,0,0,0,0,0,0,2.0,1,0,3,0,1,1,1,0.5,0.167,-,2.00
甲子園,0.00,3,0,3,0,0,0,0,0,0,0,0,2.1,2,0,2,0,0,0,0,0.86,0.25,-,99.00
横浜,10.38,4,0,4,1,0,0,0,1,1,1,0,4.1,5,2,2,3,0,5,5,1.85,0.278,-,0.87
マツダスタジアム,3.00,3,0,3,1,0,0,0,1,1,1,0,3.0,2,0,2,1,0,1,1,1.0,0.182,-,3.00
神宮,0.00,2,0,2,0,0,0,0,0,0,0,0,2.1,1,0,3,1,0,0,0,0.86,0.143,-,99.00
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
みずほPayPay,27.00,2,0,2,0,0,0,0,0,0,0,0,1.1,3,0,1,2,1,4,4,3.75,0.5,-,0.33
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,0.00,2,0,2,0,0,1,0,1,0,0,0,2.0,1,0,2,0,0,0,0,0.5,0.143,-,99.00
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
