球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
バンテリンドーム,.182,28,41,33,1,6,0,0,0,6,2,9,1,1,0,7,0,0,0,0,.206,.182,0.388
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
甲子園,.250,3,6,4,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,.250,.500,0.75
横浜,.429,5,7,7,1,3,0,0,1,6,3,2,0,0,0,0,0,0,0,0,.429,.857,1.286
マツダスタジアム,.300,3,10,10,2,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,.300,.300,0.6
神宮,.333,3,7,6,0,2,0,0,0,2,1,2,1,0,0,0,0,0,0,0,.429,.333,0.762
Ce その他,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
みずほPayPay,.000,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ベルーナドーム,.000,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
