条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.278,26,18,5,0,0,0,0,1,1,4,2,0.318
1-0より,.412,17,17,7,0,0,0,0,0,0,0,0,0.412
2-0より,1.000,4,2,2,0,0,0,0,2,0,0,0,1.0
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.214,14,14,3,0,0,0,0,0,0,0,0,0.214
1-1より,.294,17,17,5,0,1,0,0,0,0,0,0,0.294
2-1より,.188,16,16,3,0,1,0,0,0,0,0,0,0.188
3-1より,.500,5,2,1,0,0,0,0,3,0,0,0,0.8
0-2より,.154,13,13,2,0,0,0,6,0,0,0,0,0.154
1-2より,.211,39,38,8,1,0,0,16,0,0,0,1,0.205
2-2より,.294,34,34,10,0,0,0,15,0,0,0,0,0.294
3-2より,.136,33,22,3,1,0,0,10,11,0,0,0,0.424
