球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
バンテリンドーム,.256,66,254,234,26,60,10,3,8,100,25,48,13,7,3,3,1,13,2,1,.303,.427,0.73
東京ドーム,.320,8,27,25,4,8,4,0,2,18,3,4,2,0,0,0,0,0,0,0,.370,.720,1.09
甲子園,.273,11,34,33,2,9,2,0,1,14,6,7,0,0,0,1,0,1,0,0,.273,.424,0.697
横浜,.311,12,48,45,5,14,3,0,2,23,7,14,1,0,1,1,0,2,1,0,.340,.511,0.852
マツダスタジアム,.408,12,50,49,6,20,1,1,0,23,5,8,1,0,0,0,0,6,0,0,.420,.469,0.889
神宮,.167,11,45,42,5,7,0,0,2,13,4,11,2,0,0,1,0,0,2,0,.205,.310,0.514
Ce その他,.133,4,15,15,2,2,0,0,1,5,1,4,0,0,0,0,0,1,0,0,.133,.333,0.467
みずほPayPay,.154,3,13,13,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,.154,.231,0.385
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.667,2,9,9,1,6,0,0,1,9,1,0,0,0,0,0,0,1,0,0,.667,1.000,1.667
京セラD大阪,.200,1,5,5,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,.200,.200,0.4
ベルーナドーム,.167,3,13,12,0,2,0,0,0,2,0,2,1,0,0,0,0,2,0,0,.231,.167,0.397
Pa その他,.000,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
