球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,808,42.8%,147.0,88,87,222,231,49.1%,18.0%,.321,215,69,8,38,6,1
スライダー,228,12.1%,128.7,45,36,42,55,53.9%,32.8%,.313,64,20,3,15,2,1
フォーク,188,10.0%,136.6,41,15,40,52,51.1%,33.9%,.155,58,9,0,18,0,0
カットボール,182,9.6%,137.8,28,21,45,62,51.6%,28.3%,.129,31,4,2,6,5,1
チェンジアップ,160,8.5%,130.7,23,18,43,41,52.5%,22.8%,.209,43,9,2,8,0,0
カーブ,87,4.6%,115.8,17,20,14,23,58.6%,38.6%,.313,16,5,0,3,0,0
ツーシーム,80,4.2%,143.1,11,8,19,22,47.5%,22.0%,.364,22,8,0,3,0,0
スプリット,56,3.0%,139.3,9,6,12,21,48.2%,31.0%,.250,12,3,2,4,0,0
シンカー,35,1.9%,129.3,7,3,9,10,54.3%,31.8%,.222,9,2,0,3,0,0
シュート,23,1.2%,144.7,2,3,7,6,52.2%,14.3%,.400,5,2,0,1,0,1
ナックルカーブ,22,1.2%,128.0,2,3,4,10,40.9%,22.2%,.000,5,0,0,2,0,0
縦スライダー,10,0.5%,131.1,0,1,2,4,30.0%,0.0%,.000,3,0,0,0,0,0
スローカーブ,2,0.1%,88.5,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
パワーカーブ,2,0.1%,118.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
スクリュー,2,0.1%,135.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
高速スライダー,2,0.1%,137.0,0,1,0,0,50.0%,0.0%,.000,1,0,0,0,0,0
パーム,1,0.1%,115.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
ナックル,1,0.1%,131.0,0,1,0,0,100.0%,-%,.000,1,0,0,1,0,0
