球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
バンテリンドーム,1.69,18,0,18,0,2,8,2,8,2,0,2,16.0,10,1,13,6,2,6,3,1.0,0.182,-,2.67
東京ドーム,10.80,3,0,3,0,2,0,0,0,0,0,2,3.1,3,1,3,2,1,4,4,1.5,0.3,-,0.83
甲子園,0.00,2,0,2,0,0,1,0,1,0,0,0,2.0,1,0,1,0,0,0,0,0.5,0.167,-,99.00
横浜,0.00,1,0,1,1,0,0,0,1,1,1,0,1.0,1,0,1,0,0,0,0,1.0,0.25,-,99.00
マツダスタジアム,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,1,0,2,0,0,0,0,1.0,0.25,-,99.00
神宮,0.00,6,0,6,0,0,2,0,2,0,0,0,5.1,4,0,3,2,1,0,0,1.13,0.2,-,99.00
Ce その他,0.00,2,0,2,0,0,2,0,2,0,0,0,2.0,1,0,1,0,0,0,0,0.5,0.143,-,99.00
みずほPayPay,0.00,2,0,2,0,0,0,0,0,0,0,0,1.2,0,0,1,1,0,0,0,0.6,0.0,-,99.00
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
