球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
バンテリンドーム,.375,9,9,8,0,3,0,0,0,3,0,4,0,0,0,1,0,0,1,0,.375,.375,0.75
東京ドーム,.000,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
甲子園,.000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
横浜,.250,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.250,0.5
マツダスタジアム,.000,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
神宮,.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
Ce その他,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
