条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.432,50,44,19,4,1,5,0,4,2,0,0,0.5
1-0より,.576,36,33,19,5,0,3,0,0,2,0,1,0.583
2-0より,.167,8,6,1,0,0,1,0,2,0,0,0,0.375
3-0より,-,13,0,0,0,0,0,0,13,0,0,0,1.0
0-1より,.316,20,19,6,0,0,4,0,0,0,0,1,0.3
1-1より,.261,23,23,6,3,0,1,0,0,0,0,0,0.261
2-1より,.357,14,14,5,0,0,2,0,0,0,0,0,0.357
3-1より,.333,25,12,4,1,0,0,0,13,0,0,0,0.68
0-2より,.050,20,20,1,0,0,0,14,0,0,0,0,0.05
1-2より,.186,70,70,13,4,0,0,32,0,0,0,0,0.186
2-2より,.082,73,73,6,0,0,2,43,0,0,0,0,0.082
3-2より,.261,76,46,12,5,0,2,20,29,0,0,1,0.539
