条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.188,21,16,3,0,0,1,0,2,1,2,0,.316
1-0より,.000,5,4,0,0,0,0,0,0,1,0,0,.200
2-0より,-,1,0,0,0,0,0,0,0,0,1,0,-
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.000
0-1より,.333,14,12,4,0,1,0,0,0,1,1,0,.385
1-1より,.143,7,7,1,0,0,0,0,0,0,0,0,.143
2-1より,.000,2,2,0,0,0,0,0,0,0,0,0,.000
3-1より,.000,6,2,0,0,0,0,0,4,0,0,0,.667
0-2より,.143,8,7,1,0,0,0,4,0,1,0,0,.250
1-2より,.360,26,25,9,3,0,0,7,0,0,1,0,.360
2-2より,.040,25,25,1,0,0,0,14,0,0,0,0,.040
3-2より,.273,17,11,3,0,0,0,4,6,0,0,0,.529
