球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,126,39.4%,147.3,15,19,26,47,47.6%,25.0%,.240,25,6,0,7,2,0
スライダー,44,13.8%,129.6,6,7,8,18,47.7%,31.6%,.222,9,2,0,4,1,0
チェンジアップ,38,11.9%,130.0,3,2,9,18,36.8%,16.7%,.143,7,1,0,1,2,0
カーブ,25,7.8%,116.5,1,7,5,9,52.0%,11.1%,.000,4,0,0,1,1,0
カットボール,25,7.8%,137.4,4,6,4,8,56.0%,36.4%,.333,3,1,0,1,0,0
ツーシーム,22,6.9%,142.4,5,4,2,6,50.0%,41.7%,.500,4,2,0,0,0,0
フォーク,17,5.3%,135.0,4,1,2,5,41.2%,36.4%,.125,8,1,0,3,1,0
スプリット,13,4.1%,137.6,3,3,2,3,61.5%,42.9%,.000,4,0,0,2,0,0
シュート,5,1.6%,144.0,1,1,2,1,80.0%,33.3%,-,0,0,0,0,0,0
シンカー,3,0.9%,124.3,1,2,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
パワーカーブ,1,0.3%,118.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
ナックル,1,0.3%,96.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
