球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
バンテリンドーム,0.00,7,0,7,0,0,1,0,1,0,0,0,7.1,4,0,6,4,0,0,0,1.09,0.167,-,99.00
東京ドーム,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,2,2,0,0,0,2.0,0.0,-,99.00
甲子園,9.00,2,0,2,0,0,0,0,0,0,0,0,2.0,1,1,2,1,0,2,2,1.0,0.143,-,1.00
横浜,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0.0,0.0,-,99.00
マツダスタジアム,6.00,3,0,3,0,0,0,0,0,0,0,0,3.0,4,0,3,5,0,4,2,3.0,0.308,-,0.75
神宮,0.00,2,0,2,0,0,0,0,0,0,0,0,2.0,0,0,3,1,0,0,0,0.5,0.0,-,99.00
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
