条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.400,27,20,8,0,0,0,0,2,0,5,0,.455
1-0より,.273,11,11,3,1,0,0,0,0,0,0,0,.273
2-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,.083,24,24,2,0,0,2,0,0,0,0,0,.083
1-1より,.286,16,14,4,1,0,2,0,0,0,2,0,.286
2-1より,.286,7,7,2,1,0,0,0,0,0,0,0,.286
3-1より,.000,5,1,0,0,0,0,0,4,0,0,0,.800
0-2より,.118,17,17,2,0,0,1,11,0,0,0,0,.118
1-2より,.222,27,27,6,1,0,0,8,0,0,0,0,.222
2-2より,.143,28,28,4,0,0,0,7,0,0,0,0,.143
3-2より,.400,18,10,4,2,0,1,2,8,0,0,0,.667
