球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
バンテリンドーム,2.53,7,7,0,1,3,0,0,0,0,0,0,42.2,35,3,42,16,1,14,12,1.2,0.22,1.54,-
東京ドーム,8.64,2,2,0,0,2,0,0,0,0,0,0,8.1,14,2,6,3,0,8,8,2.04,0.389,2.70,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,7.59,2,2,0,0,2,0,0,0,0,0,0,10.2,17,1,8,0,2,9,9,1.59,0.354,2.25,-
マツダスタジアム,8.31,2,2,0,0,2,0,0,0,0,0,0,8.2,9,0,5,3,0,8,8,1.38,0.257,1.80,-
神宮,0.00,2,2,0,2,0,0,0,0,0,0,0,12.1,11,0,8,2,0,0,0,1.05,0.234,5.14,-
Ce その他,1.17,1,1,0,0,0,0,0,0,0,0,0,7.2,4,0,6,2,0,1,1,0.78,0.167,1.29,-
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,1.80,1,1,0,0,0,0,0,0,0,0,0,5.0,7,0,5,2,0,3,1,1.8,0.368,4.50,-
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,1.42,1,1,0,1,0,0,0,0,0,0,0,6.1,5,1,6,0,0,1,1,0.79,0.2,3.86,-
