守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.205,32,132,117,15,24,6,0,5,45,20,43,11,1,2,0,2,2,0,1,.280,.385,0.665
中堅手,.355,19,82,76,12,27,5,1,3,43,3,26,6,0,0,0,0,0,0,1,.402,.566,0.968
右翼手,.248,58,241,218,21,54,12,0,7,87,25,70,19,2,3,1,0,3,3,4,.317,.399,0.716
指名打者,.333,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.333,0.667
途中出場,.529,13,18,17,2,9,3,0,2,18,3,5,1,0,0,0,0,0,0,0,.556,1.059,1.614
