条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.359,42,39,14,4,0,1,0,1,1,1,0,0.39
1-0より,.194,32,31,6,1,0,0,0,0,0,1,0,0.194
2-0より,.273,11,11,3,1,0,1,0,0,0,0,0,0.273
3-0より,-,3,0,0,0,0,0,0,3,0,0,0,1.0
0-1より,.273,22,22,6,0,0,2,0,0,0,0,0,0.273
1-1より,.393,29,28,11,2,0,0,0,0,1,0,0,0.414
2-1より,.500,16,16,8,1,0,1,0,0,0,0,0,0.5
3-1より,.250,12,4,1,0,0,0,0,8,0,0,0,0.75
0-2より,.261,24,23,6,2,0,1,8,0,1,0,0,0.292
1-2より,.163,49,49,8,2,0,1,17,0,0,0,0,0.163
2-2より,.176,34,34,6,0,0,0,10,0,0,0,0,0.176
3-2より,.233,38,30,7,0,0,0,7,8,0,0,0,0.395
