条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.160,32,25,4,1,0,1,0,3,1,3,0,0.276
1-0より,.462,15,13,6,2,0,1,0,0,0,1,1,0.429
2-0より,-,2,0,0,0,0,0,0,1,0,0,1,0.5
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.0
0-1より,.200,12,10,2,0,0,0,0,0,1,0,1,0.25
1-1より,.391,23,23,9,1,0,3,0,0,0,0,0,0.391
2-1より,.375,8,8,3,2,0,0,0,0,0,0,0,0.375
3-1より,.000,5,1,0,0,0,0,0,4,0,0,0,0.8
0-2より,.056,19,18,1,0,0,1,10,0,0,1,0,0.056
1-2より,.111,27,27,3,1,0,0,16,0,0,0,0,0.111
2-2より,.250,24,24,6,0,0,2,8,0,0,0,0,0.25
3-2より,.000,22,17,0,0,0,0,9,5,0,0,0,0.227
