球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,420,42.9%,146.7,33,72,98,132,48.3%,15.3%,.250,96,24,0,14,7,5
スライダー,148,15.1%,129.9,13,26,20,68,39.9%,24.1%,.267,30,8,0,9,2,0
カットボール,111,11.3%,136.8,16,17,22,36,49.5%,27.6%,.217,23,5,1,4,1,0
チェンジアップ,71,7.3%,129.0,7,11,13,29,43.7%,22.6%,.231,13,3,1,2,1,0
フォーク,64,6.5%,135.8,8,7,12,24,42.2%,24.2%,.333,15,5,1,2,2,0
カーブ,57,5.8%,118.9,1,21,2,24,42.1%,8.3%,.273,11,3,0,2,1,0
ツーシーム,35,3.6%,141.3,1,7,9,10,48.6%,5.6%,.333,9,3,0,1,0,0
シュート,24,2.5%,145.5,5,3,7,6,62.5%,33.3%,.333,3,1,0,1,1,0
スプリット,22,2.2%,138.8,6,2,6,3,63.6%,35.3%,.000,8,0,0,3,0,0
シンカー,10,1.0%,123.6,3,0,3,3,60.0%,42.9%,.000,3,0,0,2,0,0
ナックルカーブ,6,0.6%,122.3,0,1,0,2,16.7%,0.0%,.000,3,0,0,0,0,0
高速スライダー,4,0.4%,138.7,1,1,1,1,75.0%,50.0%,-,0,0,0,0,0,0
パワーカーブ,3,0.3%,122.3,0,1,1,1,66.7%,0.0%,-,0,0,0,0,0,0
縦スライダー,2,0.2%,125.0,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
パーム,2,0.2%,116.0,0,0,0,0,0.0%,0.0%,.000,2,0,0,0,0,0
