球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,106,44.0%,147.5,13,18,19,43,47.2%,28.9%,.316,19,6,0,6,4,0
スライダー,33,13.7%,128.3,4,10,5,11,57.6%,33.3%,.250,4,1,0,1,0,0
フォーク,22,9.1%,135.4,3,1,3,12,31.8%,33.3%,.667,3,2,0,0,2,0
カットボール,20,8.3%,138.1,4,2,4,4,50.0%,28.6%,.125,8,1,1,2,0,0
カーブ,12,5.0%,118.8,1,4,0,3,41.7%,20.0%,.400,5,2,0,1,1,0
ナックルカーブ,11,4.6%,126.5,3,3,2,3,72.7%,60.0%,.000,2,0,0,2,0,0
スプリット,10,4.1%,139.3,2,0,1,6,30.0%,50.0%,1.000,1,1,0,0,0,0
チェンジアップ,10,4.1%,136.3,2,0,0,3,20.0%,28.6%,.400,5,2,0,0,0,0
シンカー,8,3.3%,129.8,0,1,0,2,12.5%,0.0%,.200,5,1,0,0,0,0
ツーシーム,8,3.3%,144.0,0,3,2,2,62.5%,0.0%,.000,2,0,0,1,0,0
縦スライダー,1,0.4%,122.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
