球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,45,47.4%,145.8,2,6,12,19,44.4%,10.0%,.000,10,0,0,4,2,0
スライダー,20,21.1%,129.6,1,4,2,9,35.0%,14.3%,.200,5,1,0,1,0,0
チェンジアップ,13,13.7%,134.3,6,0,4,2,76.9%,54.5%,.500,2,1,0,1,0,0
カットボール,5,5.3%,135.8,0,0,1,2,20.0%,0.0%,.000,2,0,0,0,0,0
カーブ,3,3.2%,108.3,0,1,1,1,66.7%,0.0%,-,0,0,0,0,0,0
スプリット,3,3.2%,139.3,0,0,2,1,66.7%,0.0%,-,0,0,0,0,0,0
ナックルカーブ,2,2.1%,122.0,1,1,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
ツーシーム,2,2.1%,135.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
フォーク,1,1.1%,136.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
シュート,1,1.1%,153.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
