球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
東京ドーム,0.32,28,0,28,3,0,2,23,5,26,3,0,28.0,10,1,30,4,0,1,1,0.5,0.11,-,28.00
甲子園,2.08,5,0,5,0,1,0,4,0,4,0,1,4.1,5,0,4,2,0,1,1,1.62,0.313,-,4.33
横浜,0.00,7,0,7,0,0,0,6,0,6,0,0,6.2,5,0,5,1,0,0,0,0.9,0.2,-,99.00
マツダスタジアム,0.00,2,0,2,0,0,1,1,1,1,0,0,2.0,0,0,0,0,0,0,0,0.0,0.0,-,99.00
神宮,0.00,4,0,4,0,0,0,3,0,3,0,0,4.0,2,0,6,0,0,0,0,0.5,0.143,-,99.00
バンテリンドーム,2.57,7,0,7,0,0,0,6,0,6,0,0,7.0,6,1,12,2,0,2,2,1.14,0.231,-,3.50
Ce その他,16.20,2,0,2,0,1,0,1,0,1,0,1,1.2,4,1,3,0,0,3,3,2.4,0.444,-,0.56
みずほPayPay,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,2,2,0,0,0,2.0,0.0,-,99.00
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,0.00,2,0,2,0,0,0,2,0,2,0,0,2.0,0,0,3,0,0,0,0,0.0,0.0,-,99.00
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
