球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,45,47.4%,148.4,3,6,10,17,42.2%,13.6%,.000,10,0,0,2,2,0
スライダー,13,13.7%,133.2,1,4,0,7,38.5%,50.0%,.000,2,0,0,1,0,0
チェンジアップ,11,11.6%,135.8,3,4,1,2,72.7%,60.0%,.200,5,1,0,4,0,0
カットボール,10,10.5%,138.9,1,3,2,3,60.0%,25.0%,-,0,0,0,0,1,0
フォーク,5,5.3%,137.6,1,0,1,3,40.0%,50.0%,.000,1,0,0,1,0,0
ツーシーム,4,4.2%,152.3,1,0,1,1,50.0%,33.3%,.000,1,0,0,0,0,0
縦スライダー,3,3.2%,128.7,0,1,1,0,66.7%,0.0%,1.000,1,1,0,0,0,0
スプリット,2,2.1%,133.0,0,0,0,1,0.0%,0.0%,1.000,1,1,0,0,0,0
カーブ,1,1.1%,106.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
ナックルカーブ,1,1.1%,130.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
