球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
東京ドーム,1.26,7,7,0,3,1,0,0,0,0,0,0,43.0,27,0,43,8,5,6,6,0.81,0.188,2.30,-
甲子園,4.50,1,0,1,0,0,0,0,0,0,0,0,2.0,2,0,3,1,0,1,1,1.5,0.286,-,2.00
横浜,2.57,3,3,0,2,0,0,0,0,0,0,0,14.0,10,1,9,3,0,4,4,0.93,0.2,3.71,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,1.80,1,1,0,1,0,0,0,0,0,0,0,5.0,5,0,9,3,0,1,1,1.6,0.278,3.00,-
バンテリンドーム,2.57,1,1,0,0,0,0,0,0,0,0,0,7.0,7,0,8,1,0,2,2,1.14,0.269,2.25,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,0.00,1,1,0,0,0,0,0,0,0,0,0,7.0,5,0,5,2,0,1,0,1.0,0.208,1.13,-
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
