条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.318,46,44,14,4,0,1,0,0,1,1,0,0.333
1-0より,.333,34,33,11,3,1,0,0,0,0,1,0,0.333
2-0より,.222,10,9,2,1,0,1,0,0,0,0,1,0.2
3-0より,-,10,0,0,0,0,0,0,10,0,0,0,1.0
0-1より,.271,49,48,13,1,0,0,0,0,1,0,0,0.286
1-1より,.366,42,41,15,2,0,0,0,0,1,0,0,0.381
2-1より,.350,20,20,7,2,0,1,0,0,0,0,0,0.35
3-1より,.111,26,9,1,1,0,0,0,17,0,0,0,0.692
0-2より,.250,29,28,7,1,0,0,12,0,1,0,0,0.276
1-2より,.293,77,75,22,0,0,0,22,0,1,0,1,0.299
2-2より,.207,59,58,12,0,1,0,18,0,0,0,1,0.203
3-2より,.205,53,39,8,0,1,0,11,14,0,0,0,0.415
