球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
東京ドーム,.172,25,69,58,3,10,2,0,0,12,1,20,6,0,0,5,0,0,1,0,.250,.207,0.457
甲子園,.125,4,8,8,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.125,.125,0.25
横浜,.462,7,27,26,4,12,1,1,0,15,6,3,1,0,0,0,0,1,2,0,.481,.577,1.058
マツダスタジアム,.308,6,15,13,3,4,0,0,0,4,1,2,0,0,0,2,0,0,0,0,.308,.308,0.615
神宮,.208,6,26,24,2,5,1,0,0,6,2,5,1,0,0,1,0,0,0,1,.240,.250,0.49
バンテリンドーム,.200,3,14,10,1,2,0,0,0,2,0,2,2,0,0,2,0,0,1,0,.333,.200,0.533
Ce その他,.500,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,1.0
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
