球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
東京ドーム,6.00,3,0,3,0,0,0,0,0,0,0,0,3.0,3,1,3,0,0,2,2,1.0,0.273,-,1.50
甲子園,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,3,2,0,0,0,3.0,0.25,-,99.00
横浜,0.00,2,0,2,0,0,1,0,1,0,0,0,2.0,1,0,0,0,0,0,0,0.5,0.143,-,99.00
マツダスタジアム,6.00,3,0,3,0,0,0,0,0,0,0,0,3.0,3,0,4,1,0,2,2,1.33,0.25,-,1.50
神宮,0.00,3,0,3,0,0,1,0,1,0,0,0,4.0,1,0,3,1,0,0,0,0.5,0.077,-,99.00
バンテリンドーム,0.00,1,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.0,0.0,-,99.00
Ce その他,18.00,1,0,1,0,0,0,0,0,0,0,0,1.0,3,1,1,0,0,2,2,3.0,0.5,-,0.50
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
