条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.190,23,21,4,1,1,1,0,0,0,2,0,0.19
1-0より,.278,19,18,5,1,0,0,0,0,0,1,0,0.278
2-0より,.500,5,4,2,1,1,0,0,0,0,1,0,0.5
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.0
0-1より,.391,25,23,9,2,0,0,0,0,2,0,0,0.44
1-1より,.357,14,14,5,1,0,0,0,0,0,0,0,0.357
2-1より,.308,13,13,4,1,0,1,0,0,0,0,0,0.308
3-1より,.333,8,3,1,0,0,0,0,5,0,0,0,0.75
0-2より,.167,19,18,3,0,0,0,11,0,1,0,0,0.211
1-2より,.243,39,37,9,0,0,0,9,0,1,0,1,0.256
2-2より,.140,43,43,6,2,0,0,14,0,0,0,0,0.14
3-2より,.182,32,22,4,1,0,1,6,9,1,0,0,0.438
