守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.254,32,136,122,10,31,9,1,0,42,6,25,14,1,0,0,0,4,2,0,.331,.344,0.675
中堅手,.190,5,22,21,1,4,2,0,0,6,0,5,1,0,0,0,0,0,0,0,.227,.286,0.513
右翼手,.285,44,200,172,18,49,8,2,5,76,19,24,25,4,0,1,2,1,2,2,.372,.442,0.814
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.273,9,11,11,1,3,0,0,1,6,1,3,0,0,0,0,0,0,0,1,.273,.545,0.818
