球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
マツダスタジアム,.239,51,194,163,15,39,12,0,3,60,19,30,23,0,3,3,2,0,0,3,.340,.368,0.708
東京ドーム,.208,10,29,24,1,5,2,0,0,7,4,8,5,2,0,0,0,0,0,0,.345,.292,0.636
甲子園,.115,7,27,26,1,3,2,0,0,5,1,2,0,0,0,1,0,0,0,1,.115,.192,0.308
横浜,.250,10,43,40,1,10,3,0,0,13,2,9,3,0,0,0,0,0,0,0,.302,.325,0.627
神宮,.333,7,28,24,3,8,1,0,2,15,7,8,3,0,0,0,1,0,0,0,.393,.625,1.018
バンテリンドーム,.241,8,32,29,3,7,2,0,0,9,0,5,3,1,0,0,0,0,0,1,.313,.310,0.623
Ce その他,.286,2,8,7,1,2,2,0,0,4,1,2,1,0,0,0,0,0,0,0,.375,.571,0.946
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,.400,3,12,10,2,4,1,1,0,7,3,2,1,0,1,0,0,1,0,0,.500,.700,1.2
ZOZOマリン,.100,3,12,10,1,1,0,0,0,1,0,4,2,0,0,0,0,0,0,1,.250,.100,0.35
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,.250,3,14,12,1,3,1,0,0,4,0,2,2,0,0,0,0,0,0,0,.357,.333,0.69
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
